,Admission Date,Company Name,Ticker,ICB Industry,ICB Super-Sector,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (£m)
1337,19/08/2004,COLEFAX GROUP PLC,,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,AIM,No,32.03
1338,11/08/2017,XPEDIATOR PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM,No,31.98
1339,31/01/2011,FRONTIER IP GROUP PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM,No,31.93
1340,27/11/1997,BRAEMAR SHIPPING SERVICES PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET,No,31.67
1341,12/08/2005,RENEURON GROUP PLC,,Health Care,Health Care,United Kingdom,Europe,AIM,No,31.52
1342,21/05/2012,TUNGSTEN CORPORATION PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM,No,31.52
1343,28/10/1999,GRESHAM HOUSE STRATEGIC PLC,,Financials,Financial Services,United Kingdom,Europe,AIM,No,31.41
1344,28/05/2019,RIVERSTONE CREDIT OPPORTUNITIES INCOME PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,31.21
1345,18/05/2016,ONCIMMUNE HOLDINGS PLC,,Health Care,Health Care,United Kingdom,Europe,AIM,No,31.12
1346,16/06/2010,BAHAMAS PETROLEUM COMPANY PLC,,Energy,Energy,Isle of Man,Europe,AIM,No,31.1
1347,22/06/2011,IQGEO GROUP PLC,,Technology,Technology,United Kingdom,Europe,AIM,No,31
1348,09/05/2008,IOFINA PLC,,Energy,Energy,United Kingdom,Europe,AIM,No,30.99
1349,12/02/2015,IRONRIDGE RESOURCES LIMITED,,Basic Materials,Basic Resources,Australia,Pacific,AIM,Yes,30.99
1350,02/11/2018,WENTWORTH RESOURCES PLC,,Energy,Energy,Jersey,Europe,AIM,No,30.85
1351,15/02/2017,RAMSDENS HOLDINGS PLC,,Financials,Financial Services,United Kingdom,Europe,AIM,No,30.84
1352,26/06/2017,SCOTGEMS PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,30.78
1353,14/07/2004,M&C SAATCHI PLC,,Consumer Discretionary,Media,United Kingdom,Europe,AIM,No,30.5
1354,08/06/2006,JUPITER GREEN INVESTMENT TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,30.17
1355,18/07/1995,JKX OIL & GAS PLC,,Energy,Energy,United Kingdom,Europe,MAIN MARKET,No,30.05
1356,21/12/2017,PENNPETRO ENERGY PLC,,Energy,Energy,United Kingdom,Europe,MAIN MARKET,No,30.02
1357,05/12/2018,FINNCAP GROUP PLC,,Financials,Financial Services,United Kingdom,Europe,AIM,No,29.7
1358,28/07/2005,ARIANA RESOURCES PLC,,Basic Materials,Basic Resources,United Kingdom,Europe,AIM,No,29.67
1359,10/01/2011,GRESHAM HOUSE RENEWABLE ENERGY VCT 2 PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,29.17
1360,10/05/2005,SERABI GOLD PLC,,Basic Materials,Basic Resources,United Kingdom,Europe,AIM,No,29.16
1361,21/03/2014,XLMEDIA PLC,,Consumer Discretionary,Media,Jersey,Europe,AIM,No,29
1362,04/12/2018,THE PANOPLY HOLDINGS PLC,,Technology,Technology,United Kingdom,Europe,AIM,No,28.9
1363,08/02/2017,ECO (ATLANTIC) OIL & GAS LTD,,Energy,Energy,Canada,North America,AIM,Yes,28.63
1364,01/05/2015,NANOCO GROUP PLC,,Technology,Technology,United Kingdom,Europe,MAIN MARKET,No,28.62
1365,12/06/2015,PUMA VCT 11 PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,28.6
1366,02/11/2010,FORESIGHT SOLAR & TECHNOLOGY VCT PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,28.55
1367,27/03/2015,REDX PHARMA PLC,,Health Care,Health Care,United Kingdom,Europe,AIM,No,28.5
1368,30/08/1994,CREIGHTONS PLC,,Consumer Staples,"Personal Care, Drug and Grocery Stores",United Kingdom,Europe,MAIN MARKET,No,28.49
1369,10/01/2011,GRESHAM HOUSE RENEWABLE ENERGY VCT 1 PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,28.48
1370,08/06/1998,B.S.D CROWN LTD,,Technology,Technology,Israel,Middle East,MAIN MARKET,Yes,28.45
