,Admission Date,Company Name,Ticker,ICB Industry,ICB Super-Sector,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (£m)
432,16/04/2014,POLYPIPE GROUP PLC,,Industrials,Construction and Materials,United Kingdom,Europe,MAIN MARKET,No,924.59
433,21/10/2009,BURFORD CAPITAL LIMITED,,Financials,Financial Services,Guernsey,Europe,AIM,No,918.33
434,21/06/2010,JUPITER FUND MANAGEMENT PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,915.4
435,21/09/1987,PANTHEON INTERNATIONAL PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,908.7
436,26/06/2013,DIXONS CARPHONE PLC,,Consumer Discretionary,Retail,United Kingdom,Europe,MAIN MARKET,No,905.89
437,01/04/2015,SANNE GROUP PLC,,Financials,Financial Services,Jersey,Europe,MAIN MARKET,No,905.58
438,13/12/1989,HG CAPITAL TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,904.48
439,08/11/2013,LEARNING TECHNOLOGIES GROUP PLC,,Technology,Technology,United Kingdom,Europe,AIM,No,893.95
440,28/12/2007,OCTOPUS TITAN VCT PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,891.45
441,06/11/1991,FIDELITY EUROPEAN VALUES PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,890.82
442,02/02/2016,VIRGIN MONEY UK PLC,,Financials,Banks,United Kingdom,Europe,MAIN MARKET,No,890.47
443,22/01/1990,EUROMONEY INSTITUTIONAL INVESTOR PLC,,Consumer Discretionary,Media,United Kingdom,Europe,MAIN MARKET,No,885.24
444,17/05/2007,HILTON FOOD GROUP PLC,,Consumer Staples,"Food, Beverage and Tobacco",United Kingdom,Europe,MAIN MARKET,No,882.63
445,17/12/2012,VESUVIUS PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET,No,874.39
446,04/05/2018,VIVO ENERGY PLC,,Consumer Discretionary,Retail,United Kingdom,Europe,MAIN MARKET,No,854.6
447,15/05/1989,PARAGON BANKING GROUP PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,852.51
448,08/06/1992,RATHBONE BROTHERS PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,844.75
449,26/11/1953,PZ CUSSONS PLC,,Consumer Staples,"Personal Care, Drug and Grocery Stores",United Kingdom,Europe,MAIN MARKET,No,823.15
450,15/08/2005,DART GROUP PLC,,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,AIM,No,820.45
451,20/06/2014,FDM GROUP (HOLDINGS) PLC,,Technology,Technology,United Kingdom,Europe,MAIN MARKET,No,806.93
452,18/12/1955,JPMORGAN AMERICAN INVESTMENT TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,806.81
453,10/07/2015,KAINOS GROUP PLC,,Technology,Technology,United Kingdom,Europe,MAIN MARKET,No,801.98
454,25/07/2007,THIRD POINT OFFSHORE INVESTORS LIMITED,,Financials,Financial Services,Guernsey,Europe,MAIN MARKET,No,797.14
455,27/05/1994,CLS HOLDINGS PLC,,Real Estate,Real Estate,United Kingdom,Europe,MAIN MARKET,No,796.87
456,27/09/2019,GAMESYS GROUP PLC,,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,MAIN MARKET,No,795.43
457,15/04/2003,MITCHELLS & BUTLERS PLC,,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,MAIN MARKET,No,780.29
458,25/10/2017,TI FLUID SYSTEMS PLC,,Consumer Discretionary,Automobiles and Parts,United Kingdom,Europe,MAIN MARKET,No,764.8
459,26/03/1969,HILL & SMITH HOLDINGS PLC,,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET,No,759.95
460,08/02/1952,EDINBURGH INVESTMENT TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,758.12
461,23/05/2018,TEAM17 GROUP PLC,,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,AIM,No,754.25
462,08/07/2011,SMART METERING SYSTEMS PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM,No,744.43
463,21/02/1994,HERALD INVESTMENT TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,737.73
464,10/12/1990,ABERFORTH SMALLER COMPANIES TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,735.96
465,17/04/1991,GREENCORE GROUP PLC,,Consumer Staples,"Food, Beverage and Tobacco",Ireland,Europe,MAIN MARKET,Yes,735.92
466,12/10/1983,OXFORD INSTRUMENTS PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET,No,735.16
467,28/04/1986,ST.MODWEN PROPERTIES PLC,,Real Estate,Real Estate,United Kingdom,Europe,MAIN MARKET,No,734.96
468,05/07/2016,VIETNAM ENTERPRISE INVESTMENTS LIMITED,,Financials,Financial Services,Cayman Islands,North America,MAIN MARKET,Yes,729.85
469,29/12/2016,S4 CAPITAL PLC,,Consumer Discretionary,Media,United Kingdom,Europe,MAIN MARKET,No,729.72
470,20/11/2000,EUROPEAN OPPORTUNITIES TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,727.97
471,06/12/2017,SABRE INSURANCE GROUP PLC,,Financials,Insurance,United Kingdom,Europe,MAIN MARKET,No,725
472,17/12/2002,HIGHLAND GOLD MINING LD,,Basic Materials,Basic Resources,Jersey,Europe,AIM,No,721.24
473,06/07/1989,GENESIS EMERGING MARKETS FUND LD,,Financials,Financial Services,Guernsey,Europe,MAIN MARKET,No,719.08
474,25/09/2012,CLINIGEN GROUP PLC,,Health Care,Health Care,United Kingdom,Europe,AIM,No,718.71
475,12/07/1949,AVON RUBBER PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET,No,715.09
476,30/06/1986,CLARKSON PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET,No,701.59
477,22/04/2009,PETROPAVLOVSK PLC,,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET,No,700.11
478,20/06/2007,FERREXPO PLC,,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET,No,694.87
479,06/06/2005,ESSENTRA PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET,No,691.73
480,19/06/2015,PURETECH HEALTH PLC,,Health Care,Health Care,United Kingdom,Europe,MAIN MARKET,No,688
481,04/05/2007,SIRIUS REAL ESTATE LD,,Real Estate,Real Estate,Guernsey,Europe,MAIN MARKET,No,684.29
482,02/05/2007,CINEWORLD GROUP PLC,,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,MAIN MARKET,No,680.9
483,07/10/2005,PETROFAC LIMITED,,Energy,Energy,Jersey,Europe,MAIN MARKET,No,676.61
484,29/10/2013,FORESIGHT SOLAR FUND LIMITED,,Financials,Financial Services,Jersey,Europe,MAIN MARKET,No,669.38
485,25/04/2005,YOUGOV PLC,,Consumer Discretionary,Media,United Kingdom,Europe,AIM,No,667.58
486,09/06/1994,BREWIN DOLPHIN HOLDINGS PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,664.08
487,29/03/2010,EMIS GROUP PLC,,Technology,Technology,United Kingdom,Europe,AIM,No,658.44
488,11/12/2013,HIBERNIA REIT P.L.C.,,Real Estate,Real Estate,Ireland,Europe,MAIN MARKET,Yes,654.33
489,25/07/2017,GREENCOAT RENEWABLES PLC,,Utilities,Utilities,Ireland,Europe,AIM,Yes,650.12
490,20/11/1995,SCHRODER ASIAPACIFIC FUND PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,646.44
491,27/10/2015,EQUINITI GROUP PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET,No,645.23
492,11/07/2018,HIPGNOSIS SONGS FUND LIMITED,,Financials,Financial Services,Guernsey,Europe,MAIN MARKET,No,634.33
493,31/12/1996,FISHER (JAMES) & SONS PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET,No,633.2
494,28/03/2002,FIRST DERIVATIVES PLC,,Technology,Technology,United Kingdom,Europe,AIM,No,623.24
495,22/10/2015,IBSTOCK PLC,,Industrials,Construction and Materials,United Kingdom,Europe,MAIN MARKET,No,622.07
496,16/06/1995,FIRSTGROUP PLC,,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,MAIN MARKET,No,614.98
497,07/01/1948,COATS GROUP PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET,No,614.28
498,19/05/2004,C&C GROUP PLC,,Consumer Staples,"Food, Beverage and Tobacco",Ireland,Europe,MAIN MARKET,Yes,610.73
499,15/12/2005,DRAX GROUP PLC,,Utilities,Utilities,United Kingdom,Europe,MAIN MARKET,No,609.63
500,07/01/1955,JPMORGAN JAPANESE INVESTMENT TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,609.52
501,03/11/2017,BAKKAVOR GROUP PLC,,Consumer Staples,"Food, Beverage and Tobacco",United Kingdom,Europe,MAIN MARKET,No,608.4
502,18/12/2000,MARUWA CO. LTD,,Industrials,Industrial Goods and Services,Japan,Asia,MAIN MARKET,Yes,608.16
503,31/03/2014,JLEN ENVIRONMENTAL ASSETS GROUP LIMITED,,Financials,Financial Services,Guernsey,Europe,MAIN MARKET,No,606.86
504,04/12/1995,ALLIANZ TECHNOLOGY TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,606.14
505,20/05/2013,GCP STUDENT LIVING PLC,,Real Estate,Real Estate,United Kingdom,Europe,MAIN MARKET,No,605.18
506,22/02/2002,IMPAX ENVIRONMENTAL MARKETS PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,604.98
507,17/06/1943,AVI GLOBAL TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,602.62
508,18/11/2016,CIVITAS SOCIAL HOUSING PLC,,Real Estate,Real Estate,United Kingdom,Europe,MAIN MARKET,No,599.27
509,20/06/2002,WILLIAM HILL PLC,,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,MAIN MARKET,No,595.67
510,21/03/2005,BMO COMMERCIAL PROPERTY TRUST LIMITED,,Real Estate,Real Estate,Guernsey,Europe,MAIN MARKET,No,595.53
511,25/04/2014,NEXTENERGY SOLAR FUND LIMITED,,Financials,Financial Services,Guernsey,Europe,MAIN MARKET,No,592.97
512,31/05/1945,HAMMERSON PLC,,Real Estate,Real Estate,United Kingdom,Europe,MAIN MARKET,No,592.96
513,18/07/2007,VECTURA GROUP PLC,,Health Care,Health Care,United Kingdom,Europe,MAIN MARKET,No,586.13
514,10/10/2007,CVS GROUP PLC,,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,AIM,No,582.9
515,14/12/1981,BAILLIE GIFFORD JAPAN TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,575.95
516,27/02/2017,LXI REIT PLC,,Real Estate,Real Estate,United Kingdom,Europe,MAIN MARKET,No,567.31
517,03/02/2017,DIVERSIFIED GAS & OIL PLC,,Energy,Energy,United Kingdom,Europe,AIM,No,565.67
518,07/06/1974,CHEMRING GROUP PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET,No,562.92
519,11/06/2004,ITM POWER PLC,,Energy,Energy,United Kingdom,Europe,AIM,No,560.5
520,15/06/2015,APAX GLOBAL ALPHA LIMITED,,Financials,Financial Services,Guernsey,Europe,MAIN MARKET,No,559.85
521,25/11/2004,CERES POWER HOLDINGS PLC,,Energy,Energy,United Kingdom,Europe,AIM,No,559.7
522,12/11/2013,JUST GROUP PLC,,Financials,Insurance,United Kingdom,Europe,MAIN MARKET,No,557.91
523,10/07/1998,EDINBURGH WORLDWIDE INVESTMENT TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,555.82
524,08/11/2006,HOCHSCHILD MINING PLC,,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET,No,550.3
525,16/03/1962,PROVIDENT FINANCIAL PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,550.08
526,10/07/1946,LAW DEBENTURE CORPORATION PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,549.53
527,09/11/2015,TETRAGON FINANCIAL GROUP LIMITED,,Financials,Financial Services,Guernsey,Europe,MAIN MARKET,No,547.27
528,25/03/1973,BLACKROCK SMALLER CO TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,546.89
529,28/10/1994,MORGAN SINDALL GROUP PLC,,Industrials,Construction and Materials,United Kingdom,Europe,MAIN MARKET,No,545.91
530,21/08/1991,CAPITA PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET,No,545.83
531,29/06/1959,BMO GLOBAL SMALLER COMPANIES PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,542.52
532,13/03/1953,4IMPRINT GROUP PLC,,Consumer Discretionary,Media,United Kingdom,Europe,MAIN MARKET,No,542.05
533,02/12/2016,BB HEALTHCARE TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,541.62
534,25/03/1970,BARR (A.G.) PLC,,Consumer Staples,"Food, Beverage and Tobacco",United Kingdom,Europe,MAIN MARKET,No,539.98
535,30/04/2002,ADVANCED MEDICAL SOLUTIONS GROUP PLC,,Health Care,Health Care,United Kingdom,Europe,AIM,No,539.38
536,19/06/2006,IP GROUP PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,530.63
537,02/10/1946,MORGAN ADVANCED MATERIALS PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET,No,528.22
538,28/07/2005,SCHRODER ORIENTAL INCOME FUND LIMITED,,Financials,Financial Services,Guernsey,Europe,MAIN MARKET,No,525.6
539,21/07/1999,LIONTRUST ASSET MANAGEMENT PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,521.81
540,05/02/2016,CMC MARKETS PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,520.41
541,30/05/2014,POLLEN STREET SECURED LENDING PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,519.24
542,26/02/1953,SCOTTISH AMERICAN INVESTMENT CO. PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,517.67
543,29/03/1955,HENDERSON SMALLER COMPANIES INVESTMENT TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,515.44
544,13/09/2007,CRANEWARE PLC,,Health Care,Health Care,United Kingdom,Europe,AIM,No,513.73
545,15/04/1952,TEMPLE BAR INVESTMENT TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,509.57
546,28/03/2006,PLAYTECH PLC,,Consumer Discretionary,Travel and Leisure,Isle of Man,Europe,MAIN MARKET,No,507.96
547,07/10/1996,RANK GROUP PLC,,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,MAIN MARKET,No,507.11
548,13/05/1993,IRISH CONTINENTAL GROUP PLC,,Industrials,Industrial Goods and Services,Ireland,Europe,MAIN MARKET,Yes,502.65
549,25/04/2007,XP POWER LIMITED,,Industrials,Industrial Goods and Services,Singapore,Asia,MAIN MARKET,Yes,502.03
550,31/10/1995,IG DESIGN GROUP PLC,,Consumer Staples,"Personal Care, Drug and Grocery Stores",United Kingdom,Europe,AIM,No,501.11
551,14/03/2007,BH MACRO LIMITED,,Financials,Financial Services,Guernsey,Europe,MAIN MARKET,No,499.72
552,14/03/2018,JTC PLC,,Financials,Financial Services,Jersey,Europe,MAIN MARKET,No,496.2
553,17/12/2019,EVERARC HOLDINGS LIMITED,,Financials,Financial Services,British Virgin Islands,North America,MAIN MARKET,Yes,493.93
554,17/11/1994,FIDELITY SPECIAL VALUES PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,491.86
555,27/03/2019,THE SCHIEHALLION FUND LIMITED,,Financials,Financial Services,Guernsey,Europe,MAIN MARKET,No,490.74
556,07/08/2019,TARGET HEALTHCARE REIT PLC,,Real Estate,Real Estate,United Kingdom,Europe,MAIN MARKET,No,489.51
557,09/02/1973,CAPITAL GEARING TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,489.11
558,25/10/2005,PICTON PROPERTY INCOME LD,,Real Estate,Real Estate,Guernsey,Europe,MAIN MARKET,No,487.37
559,15/07/2013,FRONTIER DEVELOPMENTS PLC,,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,AIM,No,481.73
560,05/07/2005,YOUNG & CO'S BREWERY PLC,,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,AIM,No,479.16
561,30/09/2003,VINACAPITAL VIETNAM OPPORTUNITY FUND LD,,Financials,Financial Services,Guernsey,Europe,MAIN MARKET,No,476.5
562,20/08/1952,SCOTTISH INVESTMENT TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,476.1
563,15/12/1993,BLACKROCK WORLD MINING TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,468.73
564,12/07/2013,BLUEFIELD SOLAR INCOME FUND LIMITED,,Financials,Financial Services,Guernsey,Europe,MAIN MARKET,No,466.83
565,17/09/1953,MURRAY INCOME TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,465.42
566,13/07/2007,NCC GROUP PLC,,Technology,Technology,United Kingdom,Europe,MAIN MARKET,No,461.24
567,04/10/2005,888 HOLDINGS PLC,,Consumer Discretionary,Travel and Leisure,Gibraltar,Europe,MAIN MARKET,Yes,458.22
568,22/12/1988,CAIRN ENERGY PLC,,Energy,Energy,United Kingdom,Europe,MAIN MARKET,No,456.31
569,03/10/2018,ASTON MARTIN LAGONDA GLOBAL HOLDINGS PLC,,Consumer Discretionary,Automobiles and Parts,United Kingdom,Europe,MAIN MARKET,No,452.13
570,10/06/2015,CAIRN HOMES PLC,,Consumer Discretionary,Consumer Products and Services,Ireland,Europe,MAIN MARKET,Yes,450.91
571,18/02/2013,CREST NICHOLSON HOLDINGS PLC,,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,MAIN MARKET,No,450.9
572,22/07/1981,ICG ENTERPRISE TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,449.97
573,13/10/2016,BIFFA PLC,,Utilities,Utilities,United Kingdom,Europe,MAIN MARKET,No,449.5
574,06/03/2013,TWENTYFOUR INCOME FUND LIMITED,,Financials,Financial Services,Guernsey,Europe,MAIN MARKET,No,444.15
575,30/05/2019,WATCHES OF SWITZERLAND GROUP PLC,,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,MAIN MARKET,No,443.71
576,30/06/2005,RESTORE PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM,No,443.39
577,11/06/2004,NICHOLS PLC,,Consumer Staples,"Food, Beverage and Tobacco",United Kingdom,Europe,AIM,No,442.79
578,07/09/1987,ASIA DRAGON TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,441.9
579,25/05/2004,CHESNARA PLC,,Financials,Insurance,United Kingdom,Europe,MAIN MARKET,No,436.68
580,28/03/1994,DISCOVERIE GROUP PLC,,Technology,Technology,United Kingdom,Europe,MAIN MARKET,No,435.55
581,19/08/1993,STANDARD LIFE UK SMALLER COMPANIES TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,435.43
582,28/02/2012,BANK OF GEORGIA GROUP PLC,,Financials,Banks,United Kingdom,Europe,MAIN MARKET,No,431.98
583,29/01/1970,UNISYS CORPORATION,,Technology,Technology,United States,North America,MAIN MARKET,Yes,431.71
584,21/03/1996,PERPETUAL INCOME AND GROWTH INVESTMENT TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,426.59
585,12/10/2005,CARETECH HOLDINGS PLC,,Health Care,Health Care,United Kingdom,Europe,AIM,No,426.24
586,09/03/1954,MERCHANTS TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,423.54
587,04/07/1957,HELICAL PLC,,Real Estate,Real Estate,United Kingdom,Europe,MAIN MARKET,No,419.92
588,15/06/2016,DRAPER ESPRIT PLC,,Financials,Financial Services,United Kingdom,Europe,AIM,No,418.59
589,26/03/2014,CUSTODIAN REIT PLC,,Real Estate,Real Estate,United Kingdom,Europe,MAIN MARKET,No,415.85
590,17/04/2001,OXFORD BIOMEDICA PLC,,Health Care,Health Care,United Kingdom,Europe,MAIN MARKET,No,414.42
591,17/07/2007,PPHE HOTEL GROUP LIMITED,,Consumer Discretionary,Travel and Leisure,Guernsey,Europe,MAIN MARKET,No,413.98
592,15/11/2017,"DIGITAL LANDSCAPE GROUP, INC.",,Financials,Financial Services,British Virgin Islands,North America,MAIN MARKET,Yes,411.11
593,30/06/2016,DALATA HOTEL GROUP PLC,,Consumer Discretionary,Travel and Leisure,Ireland,Europe,MAIN MARKET,Yes,406.45
594,11/05/2015,INTEGRATED DIAGNOSTICS HOLDINGS PLC,,Health Care,Health Care,Jersey,Europe,MAIN MARKET,No,405.26
595,01/11/1968,JPMORGAN GLOBAL GROWTH & INCOME PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,404.64
596,24/04/1990,JPMORGAN EURO SMALL CO. TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,400.25
597,10/08/2016,TBC BANK GROUP PLC,,Financials,Banks,United Kingdom,Europe,MAIN MARKET,No,399.88
598,30/06/2014,EMPIRIC STUDENT PROPERTY PLC,,Real Estate,Real Estate,United Kingdom,Europe,MAIN MARKET,No,398.69
599,09/07/2018,TRITAX EUROBOX PLC,,Real Estate,Real Estate,United Kingdom,Europe,MAIN MARKET,No,395.67
600,04/08/1986,HUNTSWORTH PLC,,Consumer Discretionary,Media,United Kingdom,Europe,MAIN MARKET,No,395.66
601,23/03/2016,WATKIN JONES PLC,,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,AIM,No,395.35
602,01/07/1985,BAILLIE GIFFORD SHIN NIPPON PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,394.2
603,29/05/2001,STANDARD LIFE PRIVATE EQUITY TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,390.52
604,08/07/2004,RUFFER INVESTMENT COMPANY LTD,,Financials,Financial Services,Guernsey,Europe,MAIN MARKET,No,388.7
605,05/01/2010,SILENCE THERAPEUTICS PLC,,Health Care,Health Care,United Kingdom,Europe,AIM,No,388.44
606,18/12/2006,HENDERSON FAR EAST INCOME LIMITED,,Financials,Financial Services,Jersey,Europe,MAIN MARKET,No,385.88
607,27/04/1993,STAGECOACH GROUP PLC,,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,MAIN MARKET,No,384.58
608,17/02/1960,MOUNTVIEW ESTATES PLC,,Real Estate,Real Estate,United Kingdom,Europe,MAIN MARKET,No,382.1
609,10/06/2008,JOHNSON SERVICE GROUP PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM,No,381.59
610,05/05/1994,KELLER GROUP PLC,,Industrials,Construction and Materials,United Kingdom,Europe,MAIN MARKET,No,379.09
611,31/05/2017,PRS REIT (THE) PLC,,Real Estate,Real Estate,United Kingdom,Europe,MAIN MARKET,No,378.89
612,03/08/2007,OAKLEY CAPITAL INVESTMENTS LIMITED,,Financials,Financial Services,Bermuda,North America,MAIN MARKET,Yes,377.51
613,10/10/2017,GLENVEAGH PROPERTIES PLC,,Consumer Discretionary,Consumer Products and Services,Ireland,Europe,MAIN MARKET,Yes,375.89
614,29/05/2008,BH GLOBAL LIMITED,,Financials,Financial Services,Guernsey,Europe,MAIN MARKET,No,373.78
615,02/07/2012,IDEAGEN PLC,,Technology,Technology,United Kingdom,Europe,AIM,No,373.49
616,06/02/2007,POLAR CAPITAL HOLDINGS PLC,,Financials,Financial Services,United Kingdom,Europe,AIM,No,372.26
617,21/07/2017,SUPERMARKET INCOME REIT PLC,,Real Estate,Real Estate,United Kingdom,Europe,MAIN MARKET,No,369.97
618,08/06/1962,BLACKROCK THROGMORTON TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,369.94
619,03/04/2018,UTILICO EMERGING MARKETS TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,368
620,10/12/2019,OCTOPUS RENEWABLES INFRASTRUCTURE TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,367.5
621,24/09/2004,PAYPOINT PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET,No,366.41
622,20/06/2019,RESOLUTE MINING LIMITED,,Basic Materials,Basic Resources,Australia,Pacific,MAIN MARKET,Yes,365.87
623,01/06/2018,CODEMASTERS GROUP HOLDINGS PLC,,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,AIM,No,363.17
624,23/03/2020,ABAL GROUP PLC,,Technology,Technology,United Kingdom,Europe,MAIN MARKET,No,360.3
625,07/12/1999,SDL PLC,,Technology,Technology,United Kingdom,Europe,MAIN MARKET,No,359.64
626,19/06/2001,IMPAX ASSET MANAGEMENT GROUP PLC,,Financials,Financial Services,United Kingdom,Europe,AIM,No,358.64
627,09/05/1994,GO-AHEAD GROUP PLC,,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,MAIN MARKET,No,356.86
628,31/01/1973,NORTH ATLANTIC SMALLER COMPANIES INVESTMENT TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,355.42
629,23/03/2018,BAILLIE GIFFORD US GROWTH TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,355.07
630,30/06/2009,NB PRIVATE EQUITY PARTNERS LIMITED,,Financials,Financial Services,Guernsey,Europe,MAIN MARKET,No,354.56
631,21/04/2016,FORTERRA PLC,,Industrials,Construction and Materials,United Kingdom,Europe,MAIN MARKET,No,353.98
632,06/11/2015,REGIONAL REIT LIMITED,,Real Estate,Real Estate,Guernsey,Europe,MAIN MARKET,No,353.84
633,10/05/2016,HOTEL CHOCOLAT GROUP PLC,,Consumer Staples,"Food, Beverage and Tobacco",United Kingdom,Europe,AIM,No,351.26
634,21/11/1949,DUNEDIN INCOME GROWTH INVESTMENT TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,349.72
635,06/11/2015,MCCARTHY & STONE PLC,,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,MAIN MARKET,No,347.96
636,26/05/1994,JPMORGAN INDIAN INVESTMENT TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,347.45
637,06/05/2016,MIDWICH GROUP PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM,No,347.28
638,17/12/2015,ALLIANCE PHARMA PLC,,Health Care,Health Care,United Kingdom,Europe,AIM,No,344.47
639,19/12/2003,STANDARD LIFE INVESTMENTS PROPERTY INCOME TRUST LD,,Real Estate,Real Estate,United Kingdom,Europe,MAIN MARKET,No,344.21
640,10/01/1955,REDDE NORTHGATE PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET,No,342.07
641,28/02/1950,BRUNNER INVESTMENT TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,340.2
642,14/04/2014,SEPLAT PETROLEUM DEVELOPMENT COMPANY PLC,,Energy,Energy,Nigeria,Africa,MAIN MARKET,Yes,338.36
643,06/06/2008,INDUS GAS LIMITED,,Energy,Energy,Guernsey,Europe,AIM,No,337.59
